dadm_pavadinimas,metai1,fktp_id3,programos_pgl_amziu_pavadinimas2,metai,fktp_id2
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2006,-
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2006,-
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2006,1
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2006,-
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2006,-
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2006,-
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2006,19
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2007,1
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2007,10
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2007,-
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2007,-
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2007,-
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2007,1
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2007,-
